"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "XML", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/Store/AuthenticationMethod.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/Store/CurrentPage.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/Store/index.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 3, 6, 34
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/Store/isRegistered.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 4, 15
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/Store/matchedUser.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/assets/react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/index.css", "CSS", 0, 0, 0, 0, 5, 0, 0, 0, 4, 9
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/src/main.jsx", "JavaScript JSX", 0, 0, 37, 0, 0, 0, 0, 0, 3, 40
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/Frontend/vite.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 3, 10
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/package-lock.json", "JSON", 338, 0, 0, 0, 0, 0, 0, 0, 1, 339
"/Users/ayushgautam647gmail.com/Production Level Projects/AnnaDaan Connect/package.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"Total", "-", 4985, 381, 1362, 2, 1325, 12, 7, 51, 483, 8608
